Date,Open,High,Low,Close,Adj Close,Volume
2009-03-13,100.977203,102.607201,98.231796,99.175598,80.592567,51928050
2009-03-16,101.749298,103.808296,99.861900,103.808296,84.357201,30983713
2009-03-17,103.551003,105.867302,102.349899,105.867302,86.030411,38684748
2009-03-18,107.325798,107.926300,102.778801,104.580498,84.984726,31038963
2009-03-19,106.038902,106.296303,100.376602,101.406197,82.405190,35215644
2009-03-20,100.891403,103.465202,99.432899,102.521400,83.311440,30787681
2009-03-23,104.751999,105.009399,100.634003,102.435699,83.241791,21982331
2009-03-24,104.751999,106.382103,103.207802,106.124702,86.239571,24499665
2009-03-25,105.781502,106.810997,101.320396,103.722504,84.287498,20972546
2009-03-26,104.666199,104.666199,100.119301,100.462402,81.638260,22260874
2009-03-27,101.148804,103.207802,99.003998,99.261299,80.662209,24385421
2009-03-30,98.146103,98.489197,95.743896,95.829697,77.873589,18364656
2009-03-31,96.430199,100.891403,96.344398,100.891403,81.986862,30870748
2009-04-01,100.462402,105.095200,99.003998,104.837799,85.193810,23669207
2009-04-02,107.583199,114.360703,106.639503,114.275002,92.862717,42764718
2009-04-03,114.703903,115.990799,111.701202,113.159698,91.956390,32537371
2009-04-06,115.047096,116.677101,110.328499,111.701202,90.771179,20676834
2009-04-07,113.245499,114.275002,107.926300,109.299004,88.819099,25811993
2009-04-08,108.698502,112.215897,107.668999,109.899597,89.307129,18885243
2009-04-09,107.583199,111.872803,106.896797,111.100700,90.283188,22656292
2009-04-14,110.757500,112.130203,108.870102,109.985397,89.376877,23070311
2009-04-15,109.127403,111.872803,108.526901,110.242699,89.585953,18939849
2009-04-16,111.872803,115.390297,109.899597,115.390297,93.769035,21161591
2009-04-17,115.390297,120.194603,115.218697,119.851402,97.394226,21314638
2009-04-20,119.250900,119.508301,112.473297,113.331200,92.095741,21297778
2009-04-21,112.730698,114.446503,110.671700,113.931801,92.583817,27040344
2009-04-22,111.186401,113.417000,109.642197,112.902298,94.181160,24694206
2009-04-23,110.929100,111.529602,107.926300,108.355301,90.388138,27253749
2009-04-24,108.355301,112.559097,107.325798,112.301697,93.680168,29989420
2009-04-27,109.727997,110.242699,106.639503,109.470596,91.318497,20357221
2009-04-28,107.754799,109.299004,106.553703,108.612701,90.602852,16846077
2009-04-29,109.556396,112.130203,108.698502,111.872803,93.322380,16234704
2009-04-30,112.559097,117.535103,111.872803,115.990799,96.757545,22146335
2009-05-01,117.191902,117.191902,113.331200,116.162399,96.900681,7559506
2009-05-05,116.162399,122.339401,113.760201,121.138298,101.051498,27924796
2009-05-06,120.108803,123.712097,118.993500,121.138298,101.051498,25808872
2009-05-07,121.395699,124.226799,116.076599,117.020302,97.616341,24975747
2009-05-08,117.191902,117.620796,112.130203,113.588600,94.753662,28652853
2009-05-11,114.532303,114.618103,111.529602,113.245499,94.467476,22446276
2009-05-12,112.902298,115.579002,111.787003,114.961304,95.898758,19265387
2009-05-13,116.505600,116.505600,111.958603,112.387497,93.751747,24085352
2009-05-14,112.816498,115.990799,111.701202,115.733398,96.542831,18607292
2009-05-15,116.934502,116.934502,113.588600,115.819199,96.614403,20671761
2009-05-18,114.875504,118.736099,113.245499,118.736099,99.047653,16650109
